Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
Cyprus,0,0,0,0,0,0,31.669029,50.965206,68.538521,76.457806,94.037222,83.050416,79.724704,78.231695,73.591164,71.504097,57.127077,63.81255,71.362928,68.941129,78.588907,65.672111,81.192559,79.412122,81.269263,48.627364,49.323279,47.674892,48.278804,49.728542,64.266411,104.998549,61.6289603,84.2798256,245.391644,104.8171813,104.491879,142.1945677,974.9164724,592.9181213,861.9092654,740.0925309,555.1374804,375.507291,267.3417561,253.88996,321.081516,317.6501665
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,164,190.4236167,112.0286268,85.286111,349.7782826,318.5494537,296.7134627,257.2593095,334.8303719,498.7068492,814.3292547,1459.75101,1687.764985,1896.648328,1134.443633,1196.075195,1229.063882,1394.312633,1409.130137,1737.884337,2628.261738,2674.828096,3126.387968,3464.037869
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,450,439,523,0,852,766,803,667,699,785,941,1080,866.7607817,982.4706923,822.8397763,1295.450668,1218.903517,1077.537577,1357.024095,1273.574159,1217.069021,1483.0218,1255.13152,1259.63712,1299.945508
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1216908,13.1216908,19.0354548,13.5493278,11.8894221,10.9441203,11.47303909,11.9400632,11.56306831,12.28892502,11.94569043,14.95602659,24.6678781,24.7410268,25.84950569,28.47159312,28.64039703,30.32843614,32.46661902,32.64104973,32.35970988,33.2656242,35.64575937,35.51637634,63.296196,63.296196,68.56199601
Dominica,0,0,0,0,0,0,1.3003549,3.2,5.8,8.7,8.6,8.5,7.5,9.4,10.8,11.1,7.70370367,11.77777777,16.11111127,13.37037038,13.92222223,4.9592593,5.17407404,13.73703703,13.28518493,13.43333323,13.75185133,13.88888923,14.62222234,15.6444446,16.30740735,17.1437037,17.40738879,17.81629624,23.1501336,21.77234444,22.07503333,22.48258519,22.68633333,22.13852222,22.8892963,22.87014,23.24889852,23.55113408,23.55113408,23.55113408,23.55113408,24.10933019
Dominican Republic,25.1,14.5,24,24,26.8,28,112,124,132,161,183,183,190,195,205,242,225,273,289,301,315,330,347,758.5,797.8,839.7,962.7,1143.3,1409.8,1632,1840,1984,2195,2325,2501,2719.2,3053.8,3397,3605.5,3414.7,3887,4240.7,4262.1,4485.5,4810.4,5196.200064,5509.000064,5696.213581
Ecuador,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,3,3,2,1,51,56,75,203,276,386,489,648,799,1085.2,1325.58,1426.05,1436,1636,1836,2460,2933.808811,3341.337813,3088.633129,2742.436211,2599.027038,2680.596331,2476.225962,2458.803089,2472.449389,2387.555883,2612.048514,2719.142503
"Egypt, Arab Rep.",0,0,0,0,0,0,0,928,1770,2210,2700,2180,2440,3670,3960,3210,2510,3600,3770,3290,4280,4050,6100,5660,3670,3230,3110,3700,3370,3240,2850,2910,2890,2960,3340,5017.3,5329.5,7655.8,8694,7149.6,12453.1,14324.3,19236.4,17833.1,19570.4,18325.39955,16590.00013,18199.23014
El Salvador,0,0,0,0,0,0,10.6,54,67.84,100,49.04,72.48,112.2,115.44,158.92,156.96,157.733963,186.24,210.36,237.68,366.8196642,475.3076923,694.0567128,795.4007417,972.0408134,1063.198325,1080,1200,1341.484866,1383.5,1764.7,1925.5,1958.5,2127.1,2566.5,3028.6,3482.7,3709.05,3754.75,3402.34,3471.836719,3643.949246,3896.143391,3954.928084,4154.014105,4288.065206,4593.757162,5066.91415
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3185146,0,0,0.10017061,0.16420604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
